complaint_id,category,complaint_text,area,date_reported,priority,status,clean_text,tokens
226,Water Supply,"Irregular water supply timing in Thiruverumbur, water comes only for 10 minutes.",Thiruverumbur,2025-06-14,Medium,In Progress,irregular water supply timing thiruverumbur water comes minutes,"['irregular', 'water', 'supply', 'timing', 'thiruverumbur', 'water', 'comes', 'minutes']"
227,Electricity,"Electricity meter in Woraiyur 3rd Street is malfunctioning, incorrect readings.",Woraiyur,2025-06-04,Low,In Progress,electricity meter woraiyur rd street malfunctioning incorrect readings,"['electricity', 'meter', 'woraiyur', 'rd', 'street', 'malfunctioning', 'incorrect', 'readings']"
228,Road Damage,Uneven road surface on Vayalur Road Colony Road makes it difficult for vehicles to pass.,Vayalur Road,2026-03-08,Medium,In Progress,uneven road surface vayalur road colony road makes difficult vehicles pass,"['uneven', 'road', 'surface', 'vayalur', 'road', 'colony', 'road', 'makes', 'difficult', 'vehicles', 'pass']"
229,Electricity,Repeated tripping of power supply in Ponmalai disrupts daily work.,Ponmalai,2026-04-21,Medium,Resolved,repeated tripping power supply ponmalai disrupts daily work,"['repeated', 'tripping', 'power', 'supply', 'ponmalai', 'disrupts', 'daily', 'work']"
230,Garbage,Plastic waste is piling up near the Woraiyur Colony Road community bin.,Woraiyur,2025-03-15,High,Resolved,plastic waste piling near woraiyur colony road community bin,"['plastic', 'waste', 'piling', 'near', 'woraiyur', 'colony', 'road', 'community', 'bin']"
231,Street Light,Street light near Kattur Lake Road has not been working for 10 days.,Kattur,2026-05-15,Low,Pending,street light near kattur lake road working days,"['street', 'light', 'near', 'kattur', 'lake', 'road', 'working', 'days']"
232,Electricity,Transformer near Puthur Main Road is making loud noise and sparking.,Puthur,2025-09-27,Medium,In Progress,transformer near puthur main road making loud noise sparking,"['transformer', 'near', 'puthur', 'main', 'road', 'making', 'loud', 'noise', 'sparking']"
233,Drainage,Sewage water has entered houses in Ariyamangalam Cross Street after the rain.,Ariyamangalam,2025-05-30,Medium,Pending,sewage water entered houses ariyamangalam cross street rain,"['sewage', 'water', 'entered', 'houses', 'ariyamangalam', 'cross', 'street', 'rain']"
234,Garbage,Household waste is being dumped on the roadside in Gandhi Nagar instead of the bin.,Gandhi Nagar,2026-03-12,Low,Pending,household waste dumped roadside gandhi nagar instead bin,"['household', 'waste', 'dumped', 'roadside', 'gandhi', 'nagar', 'instead', 'bin']"
235,Drainage,Stagnant drainage water in Ariyamangalam has been standing for over a week.,Ariyamangalam,2025-12-07,Low,Pending,stagnant drainage water ariyamangalam standing week,"['stagnant', 'drainage', 'water', 'ariyamangalam', 'standing', 'week']"
236,Street Light,Newly installed street light in Ariyamangalam Main Road is not switching on.,Ariyamangalam,2025-04-13,Medium,In Progress,newly installed street light ariyamangalam main road switching,"['newly', 'installed', 'street', 'light', 'ariyamangalam', 'main', 'road', 'switching']"
237,Water Supply,"Irregular water supply timing in Woraiyur, water comes only for 10 minutes.",Woraiyur,2026-04-01,Low,In Progress,irregular water supply timing woraiyur water comes minutes,"['irregular', 'water', 'supply', 'timing', 'woraiyur', 'water', 'comes', 'minutes']"
238,Drainage,"Drainage cover is missing on Ariyamangalam Colony Road, risk of accidents.",Ariyamangalam,2025-05-05,Low,Pending,drainage cover missing ariyamangalam colony road risk accidents,"['drainage', 'cover', 'missing', 'ariyamangalam', 'colony', 'road', 'risk', 'accidents']"
239,Water Supply,"Water supply valve in Thiruverumbur is broken, entire street has no water.",Thiruverumbur,2026-05-15,Low,In Progress,water supply valve thiruverumbur broken entire street water,"['water', 'supply', 'valve', 'thiruverumbur', 'broken', 'entire', 'street', 'water']"
240,Electricity,"Electricity meter in Cantonment Lake Road is malfunctioning, incorrect readings.",Cantonment,2025-12-25,Medium,Pending,electricity meter cantonment lake road malfunctioning incorrect readings,"['electricity', 'meter', 'cantonment', 'lake', 'road', 'malfunctioning', 'incorrect', 'readings']"
241,Garbage,"Garbage has not been collected in Bharathi Nagar Main Road for over a week, causing bad smell.",Bharathi Nagar,2025-03-27,High,In Progress,garbage collected bharathi nagar main road week causing bad smell,"['garbage', 'collected', 'bharathi', 'nagar', 'main', 'road', 'week', 'causing', 'bad', 'smell']"
243,Drainage,Sewage water has entered houses in Golden Rock Colony Road after the rain.,Golden Rock,2025-12-02,Low,Pending,sewage water entered houses golden rock colony road rain,"['sewage', 'water', 'entered', 'houses', 'golden', 'rock', 'colony', 'road', 'rain']"
245,Road Damage,Large pothole on Ariyamangalam Colony Road is causing accidents for two-wheelers.,Ariyamangalam,2025-02-03,Medium,Pending,large pothole ariyamangalam colony road causing accidents twowheelers,"['large', 'pothole', 'ariyamangalam', 'colony', 'road', 'causing', 'accidents', 'twowheelers']"
246,Garbage,Plastic waste is piling up near the Ariyamangalam Colony Road community bin.,Ariyamangalam,2026-02-10,Low,Resolved,plastic waste piling near ariyamangalam colony road community bin,"['plastic', 'waste', 'piling', 'near', 'ariyamangalam', 'colony', 'road', 'community', 'bin']"
247,Water Supply,"Water supply valve in Srirangam is broken, entire street has no water.",Srirangam,2025-09-03,High,Pending,water supply valve srirangam broken entire street water,"['water', 'supply', 'valve', 'srirangam', 'broken', 'entire', 'street', 'water']"
248,Electricity,Electric pole near Gandhi Nagar is leaning dangerously and needs urgent repair.,Gandhi Nagar,2026-01-17,Medium,Resolved,electric pole near gandhi nagar leaning dangerously needs urgent repair,"['electric', 'pole', 'near', 'gandhi', 'nagar', 'leaning', 'dangerously', 'needs', 'urgent', 'repair']"
250,Garbage,Public dustbin at Anna Nagar junction is broken and waste is scattered on the road.,Anna Nagar,2025-08-18,High,Pending,public dustbin anna nagar junction broken waste scattered road,"['public', 'dustbin', 'anna', 'nagar', 'junction', 'broken', 'waste', 'scattered', 'road']"
251,Street Light,Entire stretch of Palpannai 2nd Street is dark at night due to non-functional lights.,Palpannai,2025-12-23,Low,Pending,entire stretch palpannai nd street dark night due nonfunctional lights,"['entire', 'stretch', 'palpannai', 'nd', 'street', 'dark', 'night', 'due', 'nonfunctional', 'lights']"
252,Street Light,Street light near Melapudur bus stop flickers constantly at night.,Melapudur,2025-06-29,High,Resolved,street light near melapudur bus stop flickers constantly night,"['street', 'light', 'near', 'melapudur', 'bus', 'stop', 'flickers', 'constantly', 'night']"
253,Road Damage,Road near Crawford junction has completely eroded after recent rains.,Crawford,2025-03-26,Medium,Resolved,road near crawford junction completely eroded recent rains,"['road', 'near', 'crawford', 'junction', 'completely', 'eroded', 'recent', 'rains']"
254,Street Light,Street light near Golden Rock Market Street has not been working for 10 days.,Golden Rock,2025-10-30,Low,Pending,street light near golden rock market street working days,"['street', 'light', 'near', 'golden', 'rock', 'market', 'street', 'working', 'days']"
255,Garbage,Household waste is being dumped on the roadside in Melapudur instead of the bin.,Melapudur,2025-09-06,Medium,In Progress,household waste dumped roadside melapudur instead bin,"['household', 'waste', 'dumped', 'roadside', 'melapudur', 'instead', 'bin']"
256,Street Light,Newly installed street light in Kattur 3rd Street is not switching on.,Kattur,2026-02-11,Low,Resolved,newly installed street light kattur rd street switching,"['newly', 'installed', 'street', 'light', 'kattur', 'rd', 'street', 'switching']"
257,Street Light,"Street light pole in Gandhi Nagar is damaged and sparking, safety concern.",Gandhi Nagar,2026-06-02,Medium,In Progress,street light pole gandhi nagar damaged sparking safety concern,"['street', 'light', 'pole', 'gandhi', 'nagar', 'damaged', 'sparking', 'safety', 'concern']"
258,Street Light,Broken street light glass in Ponmalai Main Road is scattered on the footpath.,Ponmalai,2025-04-21,Medium,Pending,broken street light glass ponmalai main road scattered footpath,"['broken', 'street', 'light', 'glass', 'ponmalai', 'main', 'road', 'scattered', 'footpath']"
259,Road Damage,"Speed breaker on Vayalur Road 2nd Street is broken and unmarked, risky at night.",Vayalur Road,2026-01-25,Low,Resolved,speed breaker vayalur road nd street broken unmarked risky night,"['speed', 'breaker', 'vayalur', 'road', 'nd', 'street', 'broken', 'unmarked', 'risky', 'night']"
261,Water Supply,No water supply since the pipeline repair work started in Edamalaipatti Pudur Cross Street.,Edamalaipatti Pudur,2026-04-27,Medium,In Progress,water supply since pipeline repair work started edamalaipatti pudur cross street,"['water', 'supply', 'since', 'pipeline', 'repair', 'work', 'started', 'edamalaipatti', 'pudur', 'cross', 'street']"
262,Electricity,Low voltage supply in Ponmalai is damaging household appliances.,Ponmalai,2025-11-19,Medium,Resolved,low voltage supply ponmalai damaging household appliances,"['low', 'voltage', 'supply', 'ponmalai', 'damaging', 'household', 'appliances']"
263,Drainage,"Drainage cover is missing on Anna Nagar Lake Road, risk of accidents.",Anna Nagar,2026-01-16,High,Pending,drainage cover missing anna nagar lake road risk accidents,"['drainage', 'cover', 'missing', 'anna', 'nagar', 'lake', 'road', 'risk', 'accidents']"
264,Road Damage,Road near Golden Rock junction has completely eroded after recent rains.,Golden Rock,2026-06-25,High,In Progress,road near golden rock junction completely eroded recent rains,"['road', 'near', 'golden', 'rock', 'junction', 'completely', 'eroded', 'recent', 'rains']"
265,Water Supply,"Water pressure is extremely low in Vayalur Road, unable to fill overhead tank.",Vayalur Road,2026-04-16,High,Pending,water pressure extremely low vayalur road unable fill overhead tank,"['water', 'pressure', 'extremely', 'low', 'vayalur', 'road', 'unable', 'fill', 'overhead', 'tank']"
266,Garbage,Construction debris dumped illegally on Melapudur Bypass Road is blocking the footpath.,Melapudur,2025-09-25,Low,Resolved,construction debris dumped illegally melapudur bypass road blocking footpath,"['construction', 'debris', 'dumped', 'illegally', 'melapudur', 'bypass', 'road', 'blocking', 'footpath']"
267,Street Light,Street light near Chinthamani park has been off since last month.,Chinthamani,2025-05-18,High,In Progress,street light near chinthamani park since last month,"['street', 'light', 'near', 'chinthamani', 'park', 'since', 'last', 'month']"
269,Drainage,Broken underground drainage pipe in Vayalur Road is leaking onto the street.,Vayalur Road,2025-07-24,High,Pending,broken underground drainage pipe vayalur road leaking onto street,"['broken', 'underground', 'drainage', 'pipe', 'vayalur', 'road', 'leaking', 'onto', 'street']"
270,Road Damage,Road near Ponmalai junction has completely eroded after recent rains.,Ponmalai,2025-03-29,Low,Resolved,road near ponmalai junction completely eroded recent rains,"['road', 'near', 'ponmalai', 'junction', 'completely', 'eroded', 'recent', 'rains']"
271,Electricity,"Electricity meter in Gandhi Nagar Market Street is malfunctioning, incorrect readings.",Gandhi Nagar,2025-06-18,High,In Progress,electricity meter gandhi nagar market street malfunctioning incorrect readings,"['electricity', 'meter', 'gandhi', 'nagar', 'market', 'street', 'malfunctioning', 'incorrect', 'readings']"
272,Drainage,Blocked drainage near Anna Nagar is causing mosquito breeding and bad odour.,Anna Nagar,2025-06-11,High,Pending,blocked drainage near anna nagar causing mosquito breeding bad odour,"['blocked', 'drainage', 'near', 'anna', 'nagar', 'causing', 'mosquito', 'breeding', 'bad', 'odour']"
273,Drainage,Choked stormwater drain in Cantonment Lake Road floods during light rain.,Cantonment,2025-12-26,Medium,Pending,choked stormwater drain cantonment lake road floods light rain,"['choked', 'stormwater', 'drain', 'cantonment', 'lake', 'road', 'floods', 'light', 'rain']"
274,Electricity,Overhead electric line is sagging dangerously low on Kattur Market Street.,Kattur,2025-04-15,Low,Resolved,overhead electric line sagging dangerously low kattur market street,"['overhead', 'electric', 'line', 'sagging', 'dangerously', 'low', 'kattur', 'market', 'street']"
275,Water Supply,Contaminated/muddy water is coming from the tap in Srirangam Main Road.,Srirangam,2025-11-13,Medium,Pending,contaminatedmuddy water coming tap srirangam main road,"['contaminatedmuddy', 'water', 'coming', 'tap', 'srirangam', 'main', 'road']"
276,Electricity,Electric pole near Palpannai is leaning dangerously and needs urgent repair.,Palpannai,2025-12-13,High,Resolved,electric pole near palpannai leaning dangerously needs urgent repair,"['electric', 'pole', 'near', 'palpannai', 'leaning', 'dangerously', 'needs', 'urgent', 'repair']"
277,Street Light,Street light near Cantonment Market Street has not been working for 10 days.,Cantonment,2025-06-30,Low,In Progress,street light near cantonment market street working days,"['street', 'light', 'near', 'cantonment', 'market', 'street', 'working', 'days']"
279,Drainage,Choked stormwater drain in Vayalur Road Bypass Road floods during light rain.,Vayalur Road,2025-02-23,High,Resolved,choked stormwater drain vayalur road bypass road floods light rain,"['choked', 'stormwater', 'drain', 'vayalur', 'road', 'bypass', 'road', 'floods', 'light', 'rain']"
280,Water Supply,Pipeline leakage near Palpannai 2nd Street is wasting a large amount of water daily.,Palpannai,2025-10-22,Medium,Resolved,pipeline leakage near palpannai nd street wasting large amount water daily,"['pipeline', 'leakage', 'near', 'palpannai', 'nd', 'street', 'wasting', 'large', 'amount', 'water', 'daily']"
281,Electricity,Exposed electrical wires near Golden Rock 2nd Street are a serious safety hazard.,Golden Rock,2025-02-01,Medium,In Progress,exposed electrical wires near golden rock nd street serious safety hazard,"['exposed', 'electrical', 'wires', 'near', 'golden', 'rock', 'nd', 'street', 'serious', 'safety', 'hazard']"
282,Garbage,Overflowing garbage bin near Gandhi Nagar Colony Road is attracting stray dogs and flies.,Gandhi Nagar,2025-09-08,Low,Pending,overflowing garbage bin near gandhi nagar colony road attracting stray dogs flies,"['overflowing', 'garbage', 'bin', 'near', 'gandhi', 'nagar', 'colony', 'road', 'attracting', 'stray', 'dogs', 'flies']"
283,Road Damage,Waterlogged potholes on Kattur 3rd Street are damaging vehicle tyres.,Kattur,2026-04-14,Low,Pending,waterlogged potholes kattur rd street damaging vehicle tyres,"['waterlogged', 'potholes', 'kattur', 'rd', 'street', 'damaging', 'vehicle', 'tyres']"
284,Road Damage,"Speed breaker on Melapudur Cross Street is broken and unmarked, risky at night.",Melapudur,2025-11-14,High,In Progress,speed breaker melapudur cross street broken unmarked risky night,"['speed', 'breaker', 'melapudur', 'cross', 'street', 'broken', 'unmarked', 'risky', 'night']"
285,Water Supply,New water connection request in Anna Nagar is pending for over a month.,Anna Nagar,2026-04-15,High,Pending,new water connection request anna nagar pending month,"['new', 'water', 'connection', 'request', 'anna', 'nagar', 'pending', 'month']"
286,Electricity,Exposed electrical wires near Palpannai Bypass Road are a serious safety hazard.,Palpannai,2026-02-25,Medium,In Progress,exposed electrical wires near palpannai bypass road serious safety hazard,"['exposed', 'electrical', 'wires', 'near', 'palpannai', 'bypass', 'road', 'serious', 'safety', 'hazard']"
287,Garbage,Construction debris dumped illegally on Melapudur Cross Street is blocking the footpath.,Melapudur,2025-03-17,High,Pending,construction debris dumped illegally melapudur cross street blocking footpath,"['construction', 'debris', 'dumped', 'illegally', 'melapudur', 'cross', 'street', 'blocking', 'footpath']"
288,Garbage,"Garbage has not been collected in Ariyamangalam Colony Road for over a week, causing bad smell.",Ariyamangalam,2025-03-23,Low,Pending,garbage collected ariyamangalam colony road week causing bad smell,"['garbage', 'collected', 'ariyamangalam', 'colony', 'road', 'week', 'causing', 'bad', 'smell']"
289,Street Light,Street light near Palpannai park has been off since last month.,Palpannai,2025-01-13,Low,Resolved,street light near palpannai park since last month,"['street', 'light', 'near', 'palpannai', 'park', 'since', 'last', 'month']"
290,Road Damage,Road near K.K. Nagar junction has completely eroded after recent rains.,K.K. Nagar,2025-07-11,Medium,In Progress,road near kk nagar junction completely eroded recent rains,"['road', 'near', 'kk', 'nagar', 'junction', 'completely', 'eroded', 'recent', 'rains']"
291,Water Supply,Salty/foul smelling water is being supplied in K.K. Nagar Cross Street.,K.K. Nagar,2025-10-10,Medium,In Progress,saltyfoul smelling water supplied kk nagar cross street,"['saltyfoul', 'smelling', 'water', 'supplied', 'kk', 'nagar', 'cross', 'street']"
292,Electricity,Street junction box in Melapudur is open with live wires exposed.,Melapudur,2025-12-11,Medium,In Progress,street junction box melapudur open live wires exposed,"['street', 'junction', 'box', 'melapudur', 'open', 'live', 'wires', 'exposed']"
294,Road Damage,"Road repair work in Vayalur Road was left incomplete, causing traffic issues.",Vayalur Road,2025-04-08,Low,Pending,road repair work vayalur road left incomplete causing traffic issues,"['road', 'repair', 'work', 'vayalur', 'road', 'left', 'incomplete', 'causing', 'traffic', 'issues']"
295,Road Damage,Deep crack across the road in K.K. Nagar is widening every day.,K.K. Nagar,2025-10-11,High,Pending,deep crack across road kk nagar widening every day,"['deep', 'crack', 'across', 'road', 'kk', 'nagar', 'widening', 'every', 'day']"
296,Electricity,"Electricity meter in Anna Nagar 2nd Street is malfunctioning, incorrect readings.",Anna Nagar,2026-03-20,High,In Progress,electricity meter anna nagar nd street malfunctioning incorrect readings,"['electricity', 'meter', 'anna', 'nagar', 'nd', 'street', 'malfunctioning', 'incorrect', 'readings']"
297,Road Damage,"Road repair work in Chinthamani was left incomplete, causing traffic issues.",Chinthamani,2025-06-13,Medium,Resolved,road repair work chinthamani left incomplete causing traffic issues,"['road', 'repair', 'work', 'chinthamani', 'left', 'incomplete', 'causing', 'traffic', 'issues']"
298,Drainage,Stagnant drainage water in Vayalur Road has been standing for over a week.,Vayalur Road,2025-10-18,High,Resolved,stagnant drainage water vayalur road standing week,"['stagnant', 'drainage', 'water', 'vayalur', 'road', 'standing', 'week']"
299,Garbage,The garbage truck has skipped our street (Thillai Nagar Lake Road) for three days in a row.,Thillai Nagar,2025-04-11,Low,Resolved,garbage truck skipped street thillai nagar lake road three days row,"['garbage', 'truck', 'skipped', 'street', 'thillai', 'nagar', 'lake', 'road', 'three', 'days', 'row']"
300,Street Light,"No streetlight coverage on Cantonment 2nd Street, unsafe for women at night.",Cantonment,2026-05-16,Low,Resolved,streetlight coverage cantonment nd street unsafe women night,"['streetlight', 'coverage', 'cantonment', 'nd', 'street', 'unsafe', 'women', 'night']"
301,Water Supply,Contaminated/muddy water is coming from the tap in Palpannai Colony Road.,Palpannai,2025-06-28,Low,Resolved,contaminatedmuddy water coming tap palpannai colony road,"['contaminatedmuddy', 'water', 'coming', 'tap', 'palpannai', 'colony', 'road']"
302,Water Supply,Pipeline leakage near Melapudur Market Street is wasting a large amount of water daily.,Melapudur,2026-01-16,Low,Resolved,pipeline leakage near melapudur market street wasting large amount water daily,"['pipeline', 'leakage', 'near', 'melapudur', 'market', 'street', 'wasting', 'large', 'amount', 'water', 'daily']"
303,Drainage,Stagnant drainage water in K.K. Nagar has been standing for over a week.,K.K. Nagar,2025-02-09,Medium,In Progress,stagnant drainage water kk nagar standing week,"['stagnant', 'drainage', 'water', 'kk', 'nagar', 'standing', 'week']"
304,Road Damage,Large pothole on Srirangam 2nd Street is causing accidents for two-wheelers.,Srirangam,2026-03-28,Medium,Pending,large pothole srirangam nd street causing accidents twowheelers,"['large', 'pothole', 'srirangam', 'nd', 'street', 'causing', 'accidents', 'twowheelers']"
305,Drainage,Broken underground drainage pipe in Kattur is leaking onto the street.,Kattur,2026-01-08,Medium,In Progress,broken underground drainage pipe kattur leaking onto street,"['broken', 'underground', 'drainage', 'pipe', 'kattur', 'leaking', 'onto', 'street']"
306,Road Damage,"Speed breaker on Srirangam 3rd Street is broken and unmarked, risky at night.",Srirangam,2025-11-01,Low,In Progress,speed breaker srirangam rd street broken unmarked risky night,"['speed', 'breaker', 'srirangam', 'rd', 'street', 'broken', 'unmarked', 'risky', 'night']"
307,Water Supply,Contaminated/muddy water is coming from the tap in Golden Rock 2nd Street.,Golden Rock,2025-03-15,Low,Pending,contaminatedmuddy water coming tap golden rock nd street,"['contaminatedmuddy', 'water', 'coming', 'tap', 'golden', 'rock', 'nd', 'street']"
308,Electricity,Transformer near Thiruverumbur Main Road is making loud noise and sparking.,Thiruverumbur,2025-01-23,Low,Resolved,transformer near thiruverumbur main road making loud noise sparking,"['transformer', 'near', 'thiruverumbur', 'main', 'road', 'making', 'loud', 'noise', 'sparking']"
309,Water Supply,Salty/foul smelling water is being supplied in Crawford Market Street.,Crawford,2025-12-05,Medium,Resolved,saltyfoul smelling water supplied crawford market street,"['saltyfoul', 'smelling', 'water', 'supplied', 'crawford', 'market', 'street']"
310,Water Supply,"Water supply valve in Crawford is broken, entire street has no water.",Crawford,2026-01-22,Medium,In Progress,water supply valve crawford broken entire street water,"['water', 'supply', 'valve', 'crawford', 'broken', 'entire', 'street', 'water']"
311,Drainage,Sewage water has entered houses in Puthur Cross Street after the rain.,Puthur,2026-04-26,Medium,Resolved,sewage water entered houses puthur cross street rain,"['sewage', 'water', 'entered', 'houses', 'puthur', 'cross', 'street', 'rain']"
312,Street Light,"No streetlight coverage on Thillai Nagar Lake Road, unsafe for women at night.",Thillai Nagar,2026-01-15,Low,Resolved,streetlight coverage thillai nagar lake road unsafe women night,"['streetlight', 'coverage', 'thillai', 'nagar', 'lake', 'road', 'unsafe', 'women', 'night']"
313,Garbage,"Dead animal lying near the garbage dump in Kattur Cross Street, needs urgent removal.",Kattur,2026-04-12,Medium,Resolved,dead animal lying near garbage dump kattur cross street needs urgent removal,"['dead', 'animal', 'lying', 'near', 'garbage', 'dump', 'kattur', 'cross', 'street', 'needs', 'urgent', 'removal']"
314,Drainage,"Drainage cover is missing on Puthur Lake Road, risk of accidents.",Puthur,2025-02-08,Low,In Progress,drainage cover missing puthur lake road risk accidents,"['drainage', 'cover', 'missing', 'puthur', 'lake', 'road', 'risk', 'accidents']"
315,Drainage,Open drain near Chinthamani school is a safety hazard for children.,Chinthamani,2025-03-15,Medium,Resolved,open drain near chinthamani school safety hazard children,"['open', 'drain', 'near', 'chinthamani', 'school', 'safety', 'hazard', 'children']"
316,Drainage,Sewage water has entered houses in Anna Nagar 3rd Street after the rain.,Anna Nagar,2026-03-25,Medium,Resolved,sewage water entered houses anna nagar rd street rain,"['sewage', 'water', 'entered', 'houses', 'anna', 'nagar', 'rd', 'street', 'rain']"
317,Garbage,Plastic waste is piling up near the Puthur Lake Road community bin.,Puthur,2026-03-29,High,Pending,plastic waste piling near puthur lake road community bin,"['plastic', 'waste', 'piling', 'near', 'puthur', 'lake', 'road', 'community', 'bin']"
318,Garbage,Household waste is being dumped on the roadside in Woraiyur instead of the bin.,Woraiyur,2025-04-15,Low,In Progress,household waste dumped roadside woraiyur instead bin,"['household', 'waste', 'dumped', 'roadside', 'woraiyur', 'instead', 'bin']"
319,Garbage,Construction debris dumped illegally on Thillai Nagar Cross Street is blocking the footpath.,Thillai Nagar,2026-05-13,Low,Resolved,construction debris dumped illegally thillai nagar cross street blocking footpath,"['construction', 'debris', 'dumped', 'illegally', 'thillai', 'nagar', 'cross', 'street', 'blocking', 'footpath']"
320,Street Light,"Street light pole in Thiruverumbur is damaged and sparking, safety concern.",Thiruverumbur,2025-06-16,Medium,Resolved,street light pole thiruverumbur damaged sparking safety concern,"['street', 'light', 'pole', 'thiruverumbur', 'damaged', 'sparking', 'safety', 'concern']"
321,Drainage,Choked stormwater drain in Kattur Lake Road floods during light rain.,Kattur,2025-03-06,Low,In Progress,choked stormwater drain kattur lake road floods light rain,"['choked', 'stormwater', 'drain', 'kattur', 'lake', 'road', 'floods', 'light', 'rain']"
322,Street Light,Street light near Woraiyur 3rd Street has not been working for 10 days.,Woraiyur,2025-05-01,High,In Progress,street light near woraiyur rd street working days,"['street', 'light', 'near', 'woraiyur', 'rd', 'street', 'working', 'days']"
323,Street Light,Street light timer in Edamalaipatti Pudur is faulty; lights stay on during the day.,Edamalaipatti Pudur,2025-07-24,Medium,In Progress,street light timer edamalaipatti pudur faulty lights stay day,"['street', 'light', 'timer', 'edamalaipatti', 'pudur', 'faulty', 'lights', 'stay', 'day']"
324,Water Supply,New water connection request in Bharathi Nagar is pending for over a month.,Bharathi Nagar,2026-05-25,High,Pending,new water connection request bharathi nagar pending month,"['new', 'water', 'connection', 'request', 'bharathi', 'nagar', 'pending', 'month']"
325,Street Light,Street light near Vayalur Road 2nd Street has not been working for 10 days.,Vayalur Road,2025-08-25,Low,Resolved,street light near vayalur road nd street working days,"['street', 'light', 'near', 'vayalur', 'road', 'nd', 'street', 'working', 'days']"
326,Water Supply,Water tanker has not arrived in Crawford despite booking three days ago.,Crawford,2025-11-06,Low,Resolved,water tanker arrived crawford despite booking three days ago,"['water', 'tanker', 'arrived', 'crawford', 'despite', 'booking', 'three', 'days', 'ago']"
327,Drainage,Blocked drainage near Crawford is causing mosquito breeding and bad odour.,Crawford,2025-03-03,High,Resolved,blocked drainage near crawford causing mosquito breeding bad odour,"['blocked', 'drainage', 'near', 'crawford', 'causing', 'mosquito', 'breeding', 'bad', 'odour']"
328,Road Damage,Newly laid road in Chinthamani is already cracking within a few months.,Chinthamani,2026-02-23,High,In Progress,newly laid road chinthamani already cracking within months,"['newly', 'laid', 'road', 'chinthamani', 'already', 'cracking', 'within', 'months']"
330,Road Damage,Missing manhole cover on Edamalaipatti Pudur Colony Road is extremely dangerous for commuters.,Edamalaipatti Pudur,2025-02-17,Low,Resolved,missing manhole cover edamalaipatti pudur colony road extremely dangerous commuters,"['missing', 'manhole', 'cover', 'edamalaipatti', 'pudur', 'colony', 'road', 'extremely', 'dangerous', 'commuters']"
331,Electricity,Street junction box in Anna Nagar is open with live wires exposed.,Anna Nagar,2025-05-04,Medium,Pending,street junction box anna nagar open live wires exposed,"['street', 'junction', 'box', 'anna', 'nagar', 'open', 'live', 'wires', 'exposed']"
332,Road Damage,Broken footpath tiles on Melapudur Colony Road are a tripping hazard for pedestrians.,Melapudur,2026-06-11,High,Pending,broken footpath tiles melapudur colony road tripping hazard pedestrians,"['broken', 'footpath', 'tiles', 'melapudur', 'colony', 'road', 'tripping', 'hazard', 'pedestrians']"
333,Water Supply,No water supply since the pipeline repair work started in Cantonment Colony Road.,Cantonment,2026-05-11,Medium,In Progress,water supply since pipeline repair work started cantonment colony road,"['water', 'supply', 'since', 'pipeline', 'repair', 'work', 'started', 'cantonment', 'colony', 'road']"
335,Drainage,Drainage water is overflowing onto the road in Ponmalai 3rd Street.,Ponmalai,2025-02-14,Low,Pending,drainage water overflowing onto road ponmalai rd street,"['drainage', 'water', 'overflowing', 'onto', 'road', 'ponmalai', 'rd', 'street']"
336,Drainage,"Drainage cover is missing on Srirangam Main Road, risk of accidents.",Srirangam,2025-12-11,High,Pending,drainage cover missing srirangam main road risk accidents,"['drainage', 'cover', 'missing', 'srirangam', 'main', 'road', 'risk', 'accidents']"
337,Street Light,"No streetlight coverage on Ariyamangalam Market Street, unsafe for women at night.",Ariyamangalam,2025-09-09,Medium,Resolved,streetlight coverage ariyamangalam market street unsafe women night,"['streetlight', 'coverage', 'ariyamangalam', 'market', 'street', 'unsafe', 'women', 'night']"
338,Road Damage,Uneven road surface on Melapudur 3rd Street makes it difficult for vehicles to pass.,Melapudur,2026-02-03,High,Resolved,uneven road surface melapudur rd street makes difficult vehicles pass,"['uneven', 'road', 'surface', 'melapudur', 'rd', 'street', 'makes', 'difficult', 'vehicles', 'pass']"
339,Street Light,Broken street light glass in Ariyamangalam 2nd Street is scattered on the footpath.,Ariyamangalam,2025-04-10,Low,In Progress,broken street light glass ariyamangalam nd street scattered footpath,"['broken', 'street', 'light', 'glass', 'ariyamangalam', 'nd', 'street', 'scattered', 'footpath']"
340,Water Supply,Pipeline leakage near Thillai Nagar 3rd Street is wasting a large amount of water daily.,Thillai Nagar,2025-05-02,High,In Progress,pipeline leakage near thillai nagar rd street wasting large amount water daily,"['pipeline', 'leakage', 'near', 'thillai', 'nagar', 'rd', 'street', 'wasting', 'large', 'amount', 'water', 'daily']"
342,Road Damage,"Road repair work in Palpannai was left incomplete, causing traffic issues.",Palpannai,2025-01-28,High,In Progress,road repair work palpannai left incomplete causing traffic issues,"['road', 'repair', 'work', 'palpannai', 'left', 'incomplete', 'causing', 'traffic', 'issues']"
343,Drainage,Open drain near Srirangam school is a safety hazard for children.,Srirangam,2026-01-12,Low,In Progress,open drain near srirangam school safety hazard children,"['open', 'drain', 'near', 'srirangam', 'school', 'safety', 'hazard', 'children']"
344,Water Supply,"Irregular water supply timing in Chinthamani, water comes only for 10 minutes.",Chinthamani,2026-04-08,High,Pending,irregular water supply timing chinthamani water comes minutes,"['irregular', 'water', 'supply', 'timing', 'chinthamani', 'water', 'comes', 'minutes']"
